genre,rate,metascore,votes,user_reviews,critic_reviews,popularity,awards_nominations,Oscar_nominated,Golden_Globes_nominated,BAFTA_nominated,Screen_Actors_Guild_nominated,Critics_Choice_nominated,Directors_Guild_nominated,Producers_Guild_nominated,Art_Directors_Guild_nominated,Writers_Guild_nominated,Costume_Designers_Guild_nominated,Online_Film_Television_Association_nominated,Online_Film_Critics_Society_nominated,People_Choice_nominated,London_Critics_Circle_Film_nominated
Drama|Mystery|Thriller,7.19999981,78,225204,654,183,1606,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Comedy|Drama,7.5999999,70,12539,97,68,954,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Romance,5.80000019,24,113561,310,117,2382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Drama|Mystery,7.30000019,90,66638,633,186,3486,42,7,5,9,2,1,0,0,0,1,0,9,5,0,2
Biography|Drama|Romance,7.0999999,76,15104,145,99,448,16,3,3,6,2,1,0,0,0,0,0,0,0,0,1
Drama|Romance,7.4000001,35,167562,968,79,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adventure|Animation|Family,5.19999981,69,12435,33,37,667,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Comedy|Romance,6.4000001,26,90856,259,95,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama|War,8,84,38677,169,102,1101,7,1,1,0,0,1,0,0,0,0,0,1,1,0,0
Drama|Horror|Sci-Fi,5.5,35,77434,665,176,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama|Romance,7.0999999,69,72725,523,151,1645,6,2,1,1,1,0,0,0,0,1,0,1,0,0,1
Drama|Mystery|Sci-Fi,6.69999981,59,278134,2342,209,726,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Animation|Comedy|Drama,7.80000019,91,43600,312,168,1568,12,2,0,1,0,1,0,0,0,0,0,2,2,0,1
Comedy|Drama|Romance,6.69999981,66,91631,438,159,2389,5,0,1,0,0,0,0,0,0,1,0,0,1,0,1
Action|Sci-Fi,5.69999981,54,216818,1448,265,1597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama|Mystery|Romance,8,86,88643,255,142,3647,13,2,1,2,0,1,0,0,0,0,0,1,1,0,2
Action|Crime|Drama,5.30000019,42,179675,1044,277,1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romance|Drama,7.69999981,66,2908,33,25,892,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Crime|Drama|Thriller,7.19999981,60,208995,771,210,1443,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sci-Fi|Thriller,7.69999981,30,369820,1106,184,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action|Adventure|Fantasy,7.5,68,419112,1061,289,1499,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Action|Drama|Mystery,6.5999999,56,115655,286,155,2246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Drama,7.9000001,68,12025,66,52,1384,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama|Musical|Romance,7.30000019,40,98851,2050,151,652,13,3,3,0,0,2,0,0,1,0,1,4,1,0,1
Action|Crime|Thriller,6.80000019,51,243998,463,169,2531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama|Musical|Romance,7,53,42525,758,145,1722,6,0,0,0,0,3,0,0,0,0,1,2,0,0,0
